t[ms];I[10A];Ue[V];P[W];E[J]
2,5;37,8;3,228;122,02;61,01
2,52;38,19;3,11;118,77;59,38
2,54;38,19;3,268;124,8;62,4
2,56;38,19;3,228;123,28;61,64
2,58;37,8;3,268;123,53;61,76
2,6;37,8;3,228;122,02;61,01
2,62;37,8;3,228;122,02;61,01
2,64;37,8;3,189;120,54;60,27
2,66;37,8;3,228;122,02;61,01
2,68;37,8;3,228;122,02;61,01
2,7;37,4;3,228;120,73;60,36
2,72;37,8;3,189;120,54;60,27
2,74;38,19;3,189;121,79;60,9
2,76;37,8;3,189;120,54;60,27
2,78;37,8;3,268;123,53;61,76
2,8;37,8;3,189;120,54;60,27
2,82;37,8;3,189;120,54;60,27
2,84;37,4;3,189;119,27;59,64
2,86;37,8;3,228;122,02;61,01
2,88;37,4;3,228;120,73;60,36
2,9;37,8;3,228;122,02;61,01
2,92;37,4;3,189;119,27;59,64
2,94;38,19;3,11;118,77;59,38
2,96;37,4;3,228;120,73;60,36
2,98;37,4;3,228;120,73;60,36
3;37,4;3,268;122,22;61,11
3,02;37,4;3,228;120,73;60,36
3,04;37,8;3,189;120,54;60,27
3,06;37,8;3,228;122,02;61,01
3,08;37,4;3,268;122,22;61,11
3,1;37,4;3,228;120,73;60,36
3,12;37,8;3,268;123,53;61,76
3,14;37,8;3,268;123,53;61,76
3,16;37,4;3,189;119,27;59,64
3,18;37,4;3,228;120,73;60,36
3,2;37,4;3,189;119,27;59,64
3,22;37,4;3,189;119,27;59,64
3,24;37,8;3,189;120,54;60,27
3,26;37,8;3,15;119,07;59,54
3,28;37,4;3,228;120,73;60,36
3,3;37,4;3,189;119,27;59,64
3,32;37,4;3,228;120,73;60,36
3,34;37,8;3,11;117,56;58,78
3,36;37,4;3,228;120,73;60,36
3,38;37,01;3,268;120,95;60,48
3,4;37,01;3,268;120,95;60,48
3,42;37,01;3,228;119,47;59,74
3,44;37,4;3,189;119,27;59,64
3,46;37,4;3,228;120,73;60,36
3,48;37,01;3,268;120,95;60,48
3,5;37,01;3,268;120,95;60,48
3,52;37,4;3,189;119,27;59,64
3,54;37,4;3,268;122,22;61,11
3,56;37,4;3,268;122,22;61,11
3,58;37,4;3,268;122,22;61,11
3,6;37,01;3,268;120,95;60,48
3,62;37,4;3,228;120,73;60,36
3,64;37,4;3,228;120,73;60,36
3,66;37,4;3,228;120,73;60,36
3,68;37,01;3,268;120,95;60,48
3,7;37,01;3,268;120,95;60,48
3,72;37,4;3,189;119,27;59,64
3,74;37,4;3,268;122,22;61,11
3,76;37,4;3,189;119,27;59,64
3,78;37,01;3,268;120,95;60,48
3,8;37,01;3,228;119,47;59,74
3,82;37,4;3,228;120,73;60,36
3,84;37,4;3,189;119,27;59,64
3,86;37,01;3,228;119,47;59,74
3,88;37,01;3,228;119,47;59,74
3,9;37,01;3,268;120,95;60,48
3,92;37,01;3,228;119,47;59,74
3,94;37,4;3,189;119,27;59,64
3,96;37,4;3,189;119,27;59,64
3,98;37,01;3,268;120,95;60,48
4;37,01;3,268;120,95;60,48
4,02;37,01;3,268;120,95;60,48
4,04;37,01;3,228;119,47;59,74
4,06;37,01;3,228;119,47;59,74
4,08;37,01;3,268;120,95;60,48
4,1;37,01;3,268;120,95;60,48
4,12;37,01;3,228;119,47;59,74
4,14;37,4;3,228;120,73;60,36
4,16;37,01;3,228;119,47;59,74
4,18;37,01;3,268;120,95;60,48
4,2;37,01;3,228;119,47;59,74
4,22;37,01;3,189;118,02;59,01
4,24;37,4;3,189;119,27;59,64
4,26;37,4;3,189;119,27;59,64
4,28;37,01;3,228;119,47;59,74
4,3;36,61;3,228;118,18;59,09
4,32;37,01;3,228;119,47;59,74
4,34;37,4;3,189;119,27;59,64
4,36;37,01;3,228;119,47;59,74
4,38;37,01;3,268;120,95;60,48
4,4;36,61;3,268;119,64;59,82
4,42;37,01;3,228;119,47;59,74
4,44;37,01;3,228;119,47;59,74
4,46;37,01;3,268;120,95;60,48
4,48;36,61;3,268;119,64;59,82
4,5;37,01;3,268;120,95;60,48
4,52;36,61;3,268;119,64;59,82
4,54;37,01;3,228;119,47;59,74
4,56;37,01;3,228;119,47;59,74
4,58;36,61;3,268;119,64;59,82
4,6;37,01;3,268;120,95;60,48
4,62;37,01;3,268;120,95;60,48
4,64;37,4;3,189;119,27;59,64
4,66;37,01;3,228;119,47;59,74
4,68;37,01;3,268;120,95;60,48
4,7;37,01;3,268;120,95;60,48
4,72;37,01;3,228;119,47;59,74
4,74;37,01;3,189;118,02;59,01
4,76;37,01;3,228;119,47;59,74
4,78;36,61;3,268;119,64;59,82
4,8;37,01;3,268;120,95;60,48
4,82;37,01;3,268;120,95;60,48
4,84;37,01;3,268;120,95;60,48
4,86;37,01;3,228;119,47;59,74
4,88;37,01;3,346;123,84;61,92
4,9;37,01;3,228;119,47;59,74
4,92;37,01;3,268;120,95;60,48
4,94;37,01;3,189;118,02;59,01
4,96;37,01;3,228;119,47;59,74
4,98;36,61;3,228;118,18;59,09
5;36,61;3,268;119,64;59,82
5,02;36,61;3,268;119,64;59,82
5,04;37,01;3,268;120,95;60,48
5,06;37,01;3,228;119,47;59,74
5,08;37,01;3,228;119,47;59,74
5,1;36,61;3,346;122,5;61,25
5,12;37,01;3,228;119,47;59,74
5,14;37,01;3,228;119,47;59,74
5,16;37,01;3,228;119,47;59,74
5,18;36,61;3,268;119,64;59,82
5,2;36,61;3,268;119,64;59,82
5,22;37,01;3,268;120,95;60,48
5,24;37,01;3,228;119,47;59,74
5,26;37,01;3,189;118,02;59,01
5,28;37,01;3,228;119,47;59,74
5,3;36,61;3,228;118,18;59,09
5,32;37,01;3,268;120,95;60,48
5,34;37,01;3,189;118,02;59,01
5,36;37,01;3,189;118,02;59,01
5,38;36,61;3,228;118,18;59,09
5,4;36,61;3,268;119,64;59,82
5,42;37,01;3,228;119,47;59,74
5,44;37,01;3,268;120,95;60,48
5,46;37,01;3,268;120,95;60,48
5,48;37,01;3,268;120,95;60,48
5,5;36,61;3,346;122,5;61,25
5,52;36,61;3,268;119,64;59,82
5,54;37,01;3,268;120,95;60,48
5,56;37,01;3,268;120,95;60,48
5,58;36,61;3,268;119,64;59,82
5,6;36,61;3,268;119,64;59,82
5,62;37,01;3,346;123,84;61,92
5,64;37,01;3,268;120,95;60,48
5,66;37,01;3,268;120,95;60,48
5,68;37,01;3,228;119,47;59,74
5,7;36,61;3,228;118,18;59,09
5,72;36,61;3,268;119,64;59,82
5,74;37,01;3,268;120,95;60,48
5,76;37,01;3,268;120,95;60,48
5,78;36,61;3,268;119,64;59,82
5,8;36,61;3,386;123,96;61,98
5,82;36,61;3,268;119,64;59,82
5,84;37,01;3,189;118,02;59,01
5,86;37,01;3,228;119,47;59,74
5,88;37,01;3,268;120,95;60,48
5,9;36,61;3,189;116,75;58,38
5,92;36,61;3,268;119,64;59,82
5,94;36,61;3,15;115,32;57,66
5,96;37,01;3,268;120,95;60,48
5,98;36,61;3,268;119,64;59,82
6;36,61;3,11;113,86;56,93
6,02;36,61;3,268;119,64;59,82
6,04;37,01;3,268;120,95;60,48
6,06;37,01;3,228;119,47;59,74
6,08;37,01;3,268;120,95;60,48
6,1;36,61;3,268;119,64;59,82
6,12;36,61;3,268;119,64;59,82
6,14;37,01;3,268;120,95;60,48
6,16;37,01;3,228;119,47;59,74
6,18;36,61;3,268;119,64;59,82
6,2;36,61;3,268;119,64;59,82
6,22;36,61;3,268;119,64;59,82
6,24;36,61;3,228;118,18;59,09
6,26;37,01;3,228;119,47;59,74
6,28;37,01;3,268;120,95;60,48
6,3;36,61;3,268;119,64;59,82
6,32;37,01;3,268;120,95;60,48
6,34;37,01;3,268;120,95;60,48
6,36;36,61;3,228;118,18;59,09
6,38;37,01;3,268;120,95;60,48
6,4;36,61;3,189;116,75;58,38
6,42;36,61;3,268;119,64;59,82
6,44;37,01;3,268;120,95;60,48
6,46;37,01;3,268;120,95;60,48
6,48;37,01;3,268;120,95;60,48
6,5;36,61;3,268;119,64;59,82
6,52;36,61;3,268;119,64;59,82
6,54;37,01;3,268;120,95;60,48
6,56;37,01;3,268;120,95;60,48
6,58;36,61;3,268;119,64;59,82
6,6;36,61;3,268;119,64;59,82
6,62;36,61;3,268;119,64;59,82
6,64;36,61;3,189;116,75;58,38
6,66;37,01;3,268;120,95;60,48
6,68;37,01;3,268;120,95;60,48
6,7;36,61;3,268;119,64;59,82
6,72;36,61;3,268;119,64;59,82
6,74;37,01;3,228;119,47;59,74
6,76;37,01;3,228;119,47;59,74
6,78;37,01;3,268;120,95;60,48
6,8;36,61;3,268;119,64;59,82
6,82;36,61;3,268;119,64;59,82
6,84;37,01;3,11;115,1;57,55
6,86;37,01;3,228;119,47;59,74
6,88;37,01;3,268;120,95;60,48
6,9;36,61;3,268;119,64;59,82
6,92;36,61;3,268;119,64;59,82
6,94;37,01;3,228;119,47;59,74
6,96;37,01;3,268;120,95;60,48
6,98;37,01;3,268;120,95;60,48
7;36,61;3,268;119,64;59,82
7,02;36,61;3,268;119,64;59,82
7,04;36,61;3,268;119,64;59,82
7,06;36,61;3,228;118,18;59,09
7,08;36,61;3,268;119,64;59,82
7,1;36,61;3,268;119,64;59,82
7,12;36,61;3,268;119,64;59,82
7,14;37,01;3,268;120,95;60,48
7,16;37,01;3,189;118,02;59,01
7,18;36,61;3,268;119,64;59,82
7,2;36,61;3,268;119,64;59,82
7,22;37,01;3,268;120,95;60,48
7,24;37,01;3,228;119,47;59,74
7,26;37,01;3,268;120,95;60,48
7,28;36,61;3,268;119,64;59,82
7,3;36,61;3,268;119,64;59,82
7,32;36,61;3,268;119,64;59,82
7,34;36,61;3,268;119,64;59,82
7,36;37,01;3,268;120,95;60,48
7,38;36,61;3,268;119,64;59,82
7,4;36,61;3,268;119,64;59,82
7,42;36,61;3,268;119,64;59,82
7,44;36,61;3,268;119,64;59,82
7,46;37,01;3,268;120,95;60,48
7,48;36,61;3,268;119,64;59,82
7,5;36,61;3,268;119,64;59,82
7,52;36,61;3,268;119,64;59,82
7,54;36,61;3,268;119,64;59,82
7,56;36,61;3,268;119,64;59,82
7,58;36,61;3,268;119,64;59,82
7,6;36,61;3,307;121,07;60,54
7,62;36,61;3,268;119,64;59,82
7,64;37,01;3,268;120,95;60,48
7,66;37,01;3,268;120,95;60,48
7,68;36,61;3,268;119,64;59,82
7,7;36,61;3,268;119,64;59,82
7,72;36,61;3,307;121,07;60,54
7,74;36,61;3,268;119,64;59,82
7,76;37,01;3,228;119,47;59,74
7,78;37,01;3,268;120,95;60,48
7,8;36,61;3,268;119,64;59,82
7,82;36,61;3,268;119,64;59,82
7,84;36,61;3,268;119,64;59,82
7,86;37,01;3,268;120,95;60,48
7,88;37,01;3,268;120,95;60,48
7,9;36,61;3,268;119,64;59,82
7,92;36,61;3,268;119,64;59,82
7,94;36,61;3,268;119,64;59,82
7,96;36,61;3,268;119,64;59,82
7,98;37,01;3,268;120,95;60,48
8;36,61;3,268;119,64;59,82
8,02;36,61;3,307;121,07;60,54
8,04;36,61;3,268;119,64;59,82
8,06;37,01;3,268;120,95;60,48
8,08;36,61;3,268;119,64;59,82
8,1;36,61;3,268;119,64;59,82
8,12;36,61;3,346;122,5;61,25
8,14;36,61;3,268;119,64;59,82
8,16;36,61;3,268;119,64;59,82
8,18;36,61;3,268;119,64;59,82
8,2;36,61;3,268;119,64;59,82
8,22;36,61;3,268;119,64;59,82
8,24;36,61;3,268;119,64;59,82
8,26;36,61;3,189;116,75;58,38
8,28;37,01;3,268;120,95;60,48
8,3;36,61;3,346;122,5;61,25
8,32;36,61;3,268;119,64;59,82
8,34;36,61;3,268;119,64;59,82
8,36;37,01;3,228;119,47;59,74
8,38;36,61;3,268;119,64;59,82
8,4;36,61;3,268;119,64;59,82
8,42;36,61;3,346;122,5;61,25
8,44;36,61;3,268;119,64;59,82
8,46;37,01;3,268;120,95;60,48
8,48;36,61;3,268;119,64;59,82
8,5;36,61;3,268;119,64;59,82
8,52;36,61;3,307;121,07;60,54
8,54;36,61;3,268;119,64;59,82
8,56;36,61;3,228;118,18;59,09
8,58;36,61;3,268;119,64;59,82
8,6;36,61;3,346;122,5;61,25
8,62;36,61;3,268;119,64;59,82
8,64;36,61;3,268;119,64;59,82
8,66;36,61;3,346;122,5;61,25
8,68;37,01;3,268;120,95;60,48
8,7;36,61;3,307;121,07;60,54
8,72;36,61;3,346;122,5;61,25
8,74;36,61;3,268;119,64;59,82
8,76;37,01;3,268;120,95;60,48
8,78;36,61;3,268;119,64;59,82
8,8;36,61;3,307;121,07;60,54
8,82;36,61;3,346;122,5;61,25
8,84;36,61;3,268;119,64;59,82
8,86;37,01;3,268;120,95;60,48
8,88;37,01;3,268;120,95;60,48
8,9;36,61;3,307;121,07;60,54
8,92;36,61;3,268;119,64;59,82
8,94;36,61;3,268;119,64;59,82
8,96;36,61;3,268;119,64;59,82
8,98;36,61;3,268;119,64;59,82
9;36,61;3,307;121,07;60,54
9,02;36,61;3,268;119,64;59,82
9,04;36,61;3,268;119,64;59,82
9,06;36,61;3,268;119,64;59,82
9,08;36,61;3,268;119,64;59,82
9,1;36,61;3,346;122,5;61,25
9,12;36,22;3,346;121,19;60,6
9,14;36,61;3,268;119,64;59,82
9,16;36,61;3,268;119,64;59,82
9,18;37,01;3,268;120,95;60,48
9,2;36,61;3,268;119,64;59,82
9,22;36,61;3,268;119,64;59,82
9,24;36,61;3,268;119,64;59,82
9,26;36,61;3,189;116,75;58,38
9,28;36,61;3,268;119,64;59,82
9,3;36,61;3,228;118,18;59,09
9,32;36,61;3,268;119,64;59,82
9,34;36,61;3,268;119,64;59,82
9,36;37,01;3,268;120,95;60,48
9,38;36,61;3,268;119,64;59,82
9,4;36,61;3,307;121,07;60,54
9,42;36,61;3,346;122,5;61,25
9,44;36,61;3,268;119,64;59,82
9,46;36,61;3,307;121,07;60,54
9,48;36,61;3,268;119,64;59,82
9,5;36,61;3,346;122,5;61,25
9,52;36,22;3,346;121,19;60,6
9,54;36,61;3,307;121,07;60,54
9,56;36,61;3,268;119,64;59,82
9,58;36,61;3,268;119,64;59,82
9,6;36,61;3,307;121,07;60,54
9,62;36,61;3,268;119,64;59,82
9,64;36,61;3,268;119,64;59,82
9,66;37,01;3,268;120,95;60,48
9,68;36,61;3,268;119,64;59,82
9,7;36,61;3,307;121,07;60,54
9,72;36,61;3,268;119,64;59,82
9,74;36,61;3,307;121,07;60,54
9,76;36,61;3,268;119,64;59,82
9,78;36,61;3,268;119,64;59,82
9,8;36,61;3,268;119,64;59,82
9,82;36,61;3,386;123,96;61,98
9,84;36,61;3,268;119,64;59,82
9,86;37,01;3,268;120,95;60,48
9,88;36,61;3,268;119,64;59,82
9,9;36,61;3,307;121,07;60,54
9,92;36,61;3,346;122,5;61,25
9,94;36,61;3,307;121,07;60,54
9,96;37,01;3,228;119,47;59,74
9,98;36,61;3,268;119,64;59,82
10;36,61;3,346;122,5;61,25
10,02;36,61;3,346;122,5;61,25
10,04;36,61;3,268;119,64;59,82
10,06;36,61;3,268;119,64;59,82
10,08;37,01;3,268;120,95;60,48
10,1;36,61;3,307;121,07;60,54
10,12;36,61;3,268;119,64;59,82
10,14;36,61;3,268;119,64;59,82
10,16;37,01;3,268;120,95;60,48
10,18;37,01;3,268;120,95;60,48
10,2;36,61;3,268;119,64;59,82
10,22;36,61;3,386;123,96;61,98
10,24;36,61;3,268;119,64;59,82
10,26;36,61;3,268;119,64;59,82
10,28;37,01;3,268;120,95;60,48
10,3;36,61;3,307;121,07;60,54
10,32;36,22;3,386;122,64;61,32
10,34;36,61;3,268;119,64;59,82
10,36;37,01;3,268;120,95;60,48
10,38;37,01;3,268;120,95;60,48
10,4;36,61;3,268;119,64;59,82
10,42;36,61;3,268;119,64;59,82
10,44;36,61;3,346;122,5;61,25
10,46;37,01;3,268;120,95;60,48
10,48;37,01;3,307;122,39;61,2
10,5;36,61;3,346;122,5;61,25
10,52;36,61;3,346;122,5;61,25
10,54;36,61;3,307;121,07;60,54
10,56;36,61;3,268;119,64;59,82
10,58;36,61;3,307;121,07;60,54
10,6;36,61;3,346;122,5;61,25
10,62;36,22;3,307;119,78;59,89
10,64;36,61;3,346;122,5;61,25
10,66;37,01;3,268;120,95;60,48
10,68;37,01;3,268;120,95;60,48
10,7;36,61;3,307;121,07;60,54
10,72;36,61;3,346;122,5;61,25
10,74;36,61;3,307;121,07;60,54
10,76;36,61;3,268;119,64;59,82
10,78;37,01;3,268;120,95;60,48
10,8;36,61;3,307;121,07;60,54
10,82;36,61;3,307;121,07;60,54
10,84;36,61;3,307;121,07;60,54
10,86;36,61;3,268;119,64;59,82
10,88;36,61;3,268;119,64;59,82
10,9;36,61;3,268;119,64;59,82
10,92;36,61;3,346;122,5;61,25
10,94;36,61;3,307;121,07;60,54
10,96;36,61;3,307;121,07;60,54
10,98;37,01;3,268;120,95;60,48
11;36,61;3,307;121,07;60,54
11,02;36,61;3,346;122,5;61,25
11,04;36,61;3,346;122,5;61,25
11,06;36,61;3,268;119,64;59,82
11,08;36,61;3,268;119,64;59,82
11,1;36,61;3,307;121,07;60,54
11,12;36,61;3,346;122,5;61,25
11,14;36,61;3,346;122,5;61,25
11,16;36,61;3,268;119,64;59,82
11,18;36,61;3,268;119,64;59,82
11,2;36,61;3,307;121,07;60,54
11,22;36,61;3,307;121,07;60,54
11,24;36,61;3,307;121,07;60,54
11,26;36,61;3,268;119,64;59,82
11,28;36,61;3,307;121,07;60,54
11,3;36,61;3,268;119,64;59,82
11,32;36,61;3,268;119,64;59,82
11,34;36,61;3,346;122,5;61,25
11,36;36,61;3,346;122,5;61,25
11,38;37,01;3,268;120,95;60,48
11,4;36,61;3,307;121,07;60,54
11,42;36,61;3,346;122,5;61,25
11,44;36,22;3,346;121,19;60,6
11,46;36,61;3,268;119,64;59,82
11,48;36,61;3,346;122,5;61,25
11,5;36,61;3,346;122,5;61,25
11,52;36,61;3,346;122,5;61,25
11,54;36,61;3,346;122,5;61,25
11,56;36,61;3,346;122,5;61,25
11,58;36,61;3,346;122,5;61,25
11,6;36,61;3,307;121,07;60,54
11,62;36,61;3,346;122,5;61,25
11,64;36,61;3,346;122,5;61,25
11,66;36,61;3,307;121,07;60,54
11,68;36,61;3,268;119,64;59,82
11,7;36,61;3,346;122,5;61,25
11,72;36,61;3,346;122,5;61,25
11,74;36,22;3,268;118,37;59,18
11,76;36,61;3,268;119,64;59,82
11,78;36,61;3,268;119,64;59,82
11,8;36,61;3,307;121,07;60,54
11,82;36,61;3,346;122,5;61,25
11,84;36,61;3,307;121,07;60,54
11,86;36,61;3,346;122,5;61,25
11,88;37,01;3,346;123,84;61,92
11,9;36,61;3,307;121,07;60,54
11,92;36,61;3,346;122,5;61,25
11,94;36,61;3,346;122,5;61,25
11,96;36,61;3,307;121,07;60,54
11,98;36,61;3,268;119,64;59,82
12;36,61;3,346;122,5;61,25
12,02;36,61;3,346;122,5;61,25
12,04;36,22;3,346;121,19;60,6
12,06;36,61;3,346;122,5;61,25
12,08;36,61;3,268;119,64;59,82
12,1;36,61;3,307;121,07;60,54
12,12;36,61;3,346;122,5;61,25
12,14;36,61;3,346;122,5;61,25
12,16;36,61;3,307;121,07;60,54
12,18;37,01;3,268;120,95;60,48
12,2;36,61;3,307;121,07;60,54
12,22;36,61;3,307;121,07;60,54
12,24;36,61;3,268;119,64;59,82
12,26;36,61;3,307;121,07;60,54
12,28;36,61;3,307;121,07;60,54
12,3;36,61;3,268;119,64;59,82
12,32;36,61;3,346;122,5;61,25
12,34;36,61;3,346;122,5;61,25
12,36;36,61;3,307;121,07;60,54
12,38;36,61;3,307;121,07;60,54
12,4;36,61;3,268;119,64;59,82
12,42;36,61;3,346;122,5;61,25
12,44;36,61;3,346;122,5;61,25
12,46;36,61;3,346;122,5;61,25
12,48;37,01;3,268;120,95;60,48
12,5;36,61;3,346;122,5;61,25
12,52;36,61;3,386;123,96;61,98
12,54;36,61;3,346;122,5;61,25
12,56;36,61;3,346;122,5;61,25
12,58;36,61;3,346;122,5;61,25
12,6;36,61;3,307;121,07;60,54
12,62;36,61;3,346;122,5;61,25
12,64;36,61;3,425;125,39;62,7
12,66;36,61;3,307;121,07;60,54
12,68;36,61;3,268;119,64;59,82
12,7;37,01;3,307;122,39;61,2
12,72;36,61;3,346;122,5;61,25
12,74;36,61;3,346;122,5;61,25
12,76;36,61;3,268;119,64;59,82
12,78;36,61;3,268;119,64;59,82
12,8;36,61;3,268;119,64;59,82
12,82;36,61;3,346;122,5;61,25
12,84;36,61;3,268;119,64;59,82
12,86;36,61;3,307;121,07;60,54
12,88;36,61;3,228;118,18;59,09
12,9;36,61;3,307;121,07;60,54
12,92;36,61;3,346;122,5;61,25
12,94;36,61;3,346;122,5;61,25
12,96;36,61;3,346;122,5;61,25
12,98;36,61;3,346;122,5;61,25
13;36,61;3,307;121,07;60,54
13,02;36,61;3,346;122,5;61,25
13,04;36,61;3,386;123,96;61,98
13,06;36,61;3,307;121,07;60,54
13,08;36,61;3,346;122,5;61,25
13,1;36,61;3,346;122,5;61,25
13,12;36,61;3,346;122,5;61,25
13,14;36,61;3,346;122,5;61,25
13,16;36,61;3,346;122,5;61,25
13,18;37,01;3,268;120,95;60,48
13,2;36,61;3,268;119,64;59,82
13,22;36,61;3,346;122,5;61,25
13,24;36,61;3,346;122,5;61,25
13,26;36,61;3,268;119,64;59,82
13,28;36,61;3,268;119,64;59,82
13,3;36,61;3,307;121,07;60,54
13,32;36,61;3,346;122,5;61,25
13,34;36,61;3,386;123,96;61,98
13,36;36,61;3,346;122,5;61,25
13,38;36,61;3,268;119,64;59,82
13,4;36,61;3,346;122,5;61,25
13,42;36,61;3,386;123,96;61,98
13,44;36,61;3,346;122,5;61,25
13,46;36,61;3,346;122,5;61,25
13,48;36,61;3,307;121,07;60,54
13,5;36,61;3,346;122,5;61,25
13,52;36,61;3,346;122,5;61,25
13,54;36,22;3,307;119,78;59,89
13,56;36,61;3,386;123,96;61,98
13,58;36,61;3,346;122,5;61,25
13,6;37,01;3,346;123,84;61,92
13,62;36,61;3,386;123,96;61,98
13,64;36,61;3,386;123,96;61,98
13,66;36,61;3,346;122,5;61,25
13,68;37,01;3,307;122,39;61,2
13,7;36,61;3,346;122,5;61,25
13,72;36,61;3,346;122,5;61,25
13,74;36,22;3,386;122,64;61,32
13,76;36,61;3,346;122,5;61,25
13,78;36,61;3,307;121,07;60,54
13,8;36,61;3,346;122,5;61,25
13,82;36,61;3,346;122,5;61,25
13,84;36,22;3,346;121,19;60,6
13,86;36,61;3,346;122,5;61,25
13,88;36,61;3,268;119,64;59,82
13,9;36,61;3,346;122,5;61,25
13,92;36,61;3,346;122,5;61,25
13,94;36,61;3,386;123,96;61,98
13,96;36,61;3,346;122,5;61,25
